id,name,band,genre,releaseDate,price,imageUrl,description
1000000031,The Death of Peace of Mind,Bad Omens,Metalcore,2022-02-25,12.60,https://fmenmish.github.io/black-vinyl-site/assets/images/death_of_peace_of_mind.png,The Death of Peace of Mind album was released on February 25th 2022 by metalcore band Bad Omens.
1000000032,POST HUMAN: SURVIVAL HORROR,Bring Me The Horizon,Metalcore,2020-10-30,21.75,https://fmenmish.github.io/black-vinyl-site/assets/images/post_human_survival_horror.jpg,POST HUMAN: SURVIVAL HORROR album was released on October 30th 2020 by metalcore band Bring Me The Horizon.
1000000033,There Is a Hell Believe Me I’ve Seen It...,Bring Me The Horizon,Metalcore,2010-10-04,22.83,https://fmenmish.github.io/black-vinyl-site/assets/images/there_is_a_hell.jpg,There Is a Hell Believe Me I’ve Seen It... album was released on October 4th 2010 by metalcore band Bring Me The Horizon.
1000000034,Sundowning,Sleep Token,Metalcore,2019-11-21,15.50,https://fmenmish.github.io/black-vinyl-site/assets/images/sundowning.jpg,Sundowning album was released on November 21st 2019 by metalcore band Sleep Token.
1000000035,Take Me Back to Eden,Sleep Token,Metalcore,2023-05-19,13.16,https://fmenmish.github.io/black-vinyl-site/assets/images/take_me_back_to_eden.jpg,Take Me Back to Eden album was released on May 19th 2023 by metalcore band Sleep Token.
1000000036,Eternal Blue,Spiritbox,Metalcore,2021-09-17,19.91,https://fmenmish.github.io/black-vinyl-site/assets/images/eternal_blue.jpg,Eternal Blue album was released on September 17th 2021 by metalcore band Spiritbox.
1000000037,Color Decay,The Devil Wears Prada,Metalcore,2022-09-16,24.75,https://fmenmish.github.io/black-vinyl-site/assets/images/color_decay.jpg,Color Decay album was released on September 16th 2022 by metalcore band The Devil Wears Prada.
1000000038,Those Who Wish to Exist,Architects,Metalcore,2021-02-26,11.53,https://fmenmish.github.io/black-vinyl-site/assets/images/those_who_wish_to_exist.jpg,Those Who Wish to Exist album was released on February 26th 2021 by metalcore band Architects.
1000000039,The Hell We Create,Fit For A King,Metalcore,2022-10-28,26.04,https://fmenmish.github.io/black-vinyl-site/assets/images/the_hell_we_create.jpg,The Hell We Create album was released on October 28th 2022 by metalcore band Fit For A King.
1000000040,Dark Bloom,We Came As Romans,Metalcore,2022-10-14,28.06,https://fmenmish.github.io/black-vinyl-site/assets/images/dark_bloom.jpg,Dark Bloom album was released on October 14th 2022 by metalcore band We Came As Romans.
1000000071,Shadows Are Security,As I Lay Dying,Metalcore,2005-06-14,10.08,https://fmenmish.github.io/black-vinyl-site/assets/images/shadows_are_security.jpg,Shadows Are Security album was released on June 14th 2005 by metalcore band As I Lay Dying.
1000000072,Ascendancy,Trivium,Metalcore,2005-03-15,24.56,https://fmenmish.github.io/black-vinyl-site/assets/images/ascendancy.jpg,Ascendancy album was released on March 15th 2005 by metalcore band Trivium.
1000000073,Suicide Season,Bring Me The Horizon,Metalcore,2008-09-29,16.36,https://fmenmish.github.io/black-vinyl-site/assets/images/suicide_season.jpg,Suicide Season album was released on September 29th 2008 by metalcore band Bring Me The Horizon.
1000000074,Meteora,Linkin Park,Metalcore,2003-03-25,10.09,https://fmenmish.github.io/black-vinyl-site/assets/images/meteora.jpg,Meteora album was released on March 25th 2003 by metalcore band Linkin Park.
1000000075,With Roots Above and Branches Below,The Devil Wears Prada,Metalcore,2009-05-05,15.16,https://fmenmish.github.io/black-vinyl-site/assets/images/with_roots_above.jpg,With Roots Above and Branches Below album was released on May 5th 2009 by metalcore band The Devil Wears Prada.
1000000076,Hollow Bodies,Blessthefall,Metalcore,2013-08-20,22.07,https://fmenmish.github.io/black-vinyl-site/assets/images/hollow_bodies.jpg,Hollow Bodies album was released on August 20th 2013 by metalcore band Blessthefall.
1000000077,Monument,Miss May I,Metalcore,2010-08-17,10.22,https://fmenmish.github.io/black-vinyl-site/assets/images/monument.jpg,Monument album was released on August 17th 2010 by metalcore band Miss May I.
1000000078,Even in Arcadia,Sleep Token,Metalcore,2025-05-09,27.03,https://fmenmish.github.io/black-vinyl-site/assets/images/even_in_arcadia.jpg,Even in Arcadia album was released on May 9th 2025 by metalcore band Sleep Token.
1000000079,Popular Monster,Falling In Reverse,Metalcore,2024-08-16,16.88,https://fmenmish.github.io/black-vinyl-site/assets/images/popular_monster.jpg,Popular Monster album was released on August 16th 2024 by metalcore band Falling In Reverse.
1000000080,GENKNOSIS,Knosis,Metalcore,2025-08-01,23.06,https://fmenmish.github.io/black-vinyl-site/assets/images/genksosis.jpg,GENKNOSIS album was released on August 1st 2025 by metalcore band Knosis.
1000000111,The Classic Symptoms of a Broken Spirit,Architects,Metalcore,2022-10-21,26.66,https://fmenmish.github.io/black-vinyl-site/assets/images/classic_symptoms.jpg,The Classic Symptoms of a Broken Spirit album was released on October 21st 2022 by metalcore band Architects.
